        Kinetis series,        Kinetis family,        Kinetis subfamily,        Kinetis product,        Full part name,        Qualification status,        Family identifier,        Key attribute,        Flash memory type,        Program flash size identifier,        Program flash size in KB,        Silicon revision,        Temperature range identifier,        Temperature range min. value,        Temperature range max. value,        Package identifier,        Pin count,        Package name,        Max CPU frequency identifier,        Max CPU frequency value in MHz,        Packaging type,        IO map file name,        Code Warrior Mcu comp. name,        P&E Mirco device ID,        Hw board names,        Core,        CPU Frequency MHz,        SRAM [KB],        Total Flash Memory [KB],        Program Flash [KB],        FlexNVM [KB],        FlexRAM [KB],        Programming Acceleration RAM [KB],        Program Flash Base Address,        Program Flash Block Count,        Program Flash Block Size [KB],        Program Flash Write Unit Size [B],        Program Flash Sector Size [B],        Program Flash Read 1s/Program Section Unit Size [B],        Program Flash Configuration Field Base Address,        Program Flash Configuration Field Size,        FlexNVM Base Address,        FlexNVM Block Count,        FlexNVM Block Size [KB],        FlexNVM Write Unit Size,        FlexNVM Sector Size [B],        FlexNVM Read 1s/Program Section Unit Size [B],        FlexRAM Base Address,        SRAM Lower [B],        SRAM Lower Base Address,        SRAM Upper [B],        SRAM Upper Base Address
K,K1x,K10,K10_50,MK10DN128VMP5,M,K10,D,N,128,128,,V,-40,105,MP,64,MAPBGA,5,50,,MK10D5,MK10DN128xxx5,K10DN128M5,,Cortex-M4,50,16,128,128,,2,1,0x00000000,1,128,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN32VFM5,M,K10,D,N,32,32,,V,-40,105,FM,32,QFN,5,50,,MK10D5,MK10DN32xxx5,K10DN32M5,,Cortex-M4,50,8,32,32,,2,1,0x00000000,1,32,4,1024,4,0x400,16,,,,,,,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DN32VFT5,M,K10,D,N,32,32,,V,-40,105,FT,48,QFN,5,50,,MK10D5,MK10DN32xxx5,K10DN32M5,,Cortex-M4,50,8,32,32,,2,1,0x00000000,1,32,4,1024,4,0x400,16,,,,,,,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DN32VLF5,M,K10,D,N,32,32,,V,-40,105,LF,48,LQFP,5,50,,MK10D5,MK10DN32xxx5,K10DN32M5,,Cortex-M4,50,8,32,32,,2,1,0x00000000,1,32,4,1024,4,0x400,16,,,,,,,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DN32VLH5,M,K10,D,N,32,32,,V,-40,105,LH,64,LQFP,5,50,,MK10D5,MK10DN32xxx5,K10DN32M5,,Cortex-M4,50,8,32,32,,2,1,0x00000000,1,32,4,1024,4,0x400,16,,,,,,,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DN32VMP5,M,K10,D,N,32,32,,V,-40,105,MP,64,MAPBGA,5,50,,MK10D5,MK10DN32xxx5,K10DN32M5,,Cortex-M4,50,8,32,32,,2,1,0x00000000,1,32,4,1024,4,0x400,16,,,,,,,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_100,MK10DN512VLK10,M,K10,D,N,512,512,,V,-40,105,LK,80,LQFP,10,100,,MK10D10,MK10DN512xxx10,K10DN512M10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512VLL10,M,K10,D,N,512,512,,V,-40,105,LL,100,LQFP,10,100,,MK10D10,MK10DN512xxx10,K10DN512M10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512VLQ10,M,K10,D,N,512,512,,V,-40,105,LQ,144,LQFP,10,100,,MK10D10,MK10DN512xxx10,K10DN512M10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512VMB10,M,K10,D,N,512,512,,V,-40,105,MB,81,MAPBGA,10,100,,MK10D10,MK10DN512xxx10,K10DN512M10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512VMC10,M,K10,D,N,512,512,,V,-40,105,MC,121,MAPBGA,10,100,,MK10D10,MK10DN512xxx10,K10DN512M10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512VMD10,M,K10,D,N,512,512,,V,-40,105,MD,144,MAPBGA,10,100,,MK10D10,MK10DN512xxx10,K10DN512M10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512ZVLK10,M,K10,D,N,512,512,Z,V,-40,105,LK,80,LQFP,10,100,,MK10DZ10,MK10DN512Zxxx10,K10DN512ZM10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512ZVLL10,M,K10,D,N,512,512,Z,V,-40,105,LL,100,LQFP,10,100,,MK10DZ10,MK10DN512Zxxx10,K10DN512ZM10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512ZVLQ10,M,K10,D,N,512,512,Z,V,-40,105,LQ,144,LQFP,10,100,,MK10DZ10,MK10DN512Zxxx10,K10DN512ZM10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512ZVMB10,M,K10,D,N,512,512,Z,V,-40,105,MB,81,MAPBGA,10,100,,MK10DZ10,MK10DN512Zxxx10,K10DN512ZM10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512ZVMC10,M,K10,D,N,512,512,Z,V,-40,105,MC,121,MAPBGA,10,100,,MK10DZ10,MK10DN512Zxxx10,K10DN512ZM10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_100,MK10DN512ZVMD10,M,K10,D,N,512,512,Z,V,-40,105,MD,144,MAPBGA,10,100,,MK10DZ10,MK10DN512Zxxx10,K10DN512ZM10,,Cortex-M4,100,128,512,512,,4,2,0x00000000,2,256,4,2048,8,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_50,MK10DN64VFM5,M,K10,D,N,64,64,,V,-40,105,FM,32,QFN,5,50,,MK10D5,MK10DN64xxx5,K10DN64M5,,Cortex-M4,50,16,64,64,,2,1,0x00000000,1,64,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN64VFT5,M,K10,D,N,64,64,,V,-40,105,FT,48,QFN,5,50,,MK10D5,MK10DN64xxx5,K10DN64M5,,Cortex-M4,50,16,64,64,,2,1,0x00000000,1,64,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN64VLF5,M,K10,D,N,64,64,,V,-40,105,LF,48,LQFP,5,50,,MK10D5,MK10DN64xxx5,K10DN64M5,,Cortex-M4,50,16,64,64,,2,1,0x00000000,1,64,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN64VLH5,M,K10,D,N,64,64,,V,-40,105,LH,64,LQFP,5,50,,MK10D5,MK10DN64xxx5,K10DN64M5,,Cortex-M4,50,16,64,64,,2,1,0x00000000,1,64,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DN64VMP5,M,K10,D,N,64,64,,V,-40,105,MP,64,MAPBGA,5,50,,MK10D5,MK10DN64xxx5,K10DN64M5,,Cortex-M4,50,16,64,64,,2,1,0x00000000,1,64,4,1024,4,0x400,16,,,,,,,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX128VFM5,M,K10,D,X,128,128,,V,-40,105,FM,32,QFN,5,50,,MK10D5,MK10DX128xxx5,K10DX128M5,,Cortex-M4,50,16,160,128,32,2,1,0x00000000,1,128,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX128VFT5,M,K10,D,X,128,128,,V,-40,105,FT,48,QFN,5,50,,MK10D5,MK10DX128xxx5,K10DX128M5,,Cortex-M4,50,16,160,128,32,2,1,0x00000000,1,128,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX128VLF5,M,K10,D,X,128,128,,V,-40,105,LF,48,LQFP,5,50,,MK10D5,MK10DX128xxx5,K10DX128M5,,Cortex-M4,50,16,160,128,32,2,1,0x00000000,1,128,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX128VLH5,M,K10,D,X,128,128,,V,-40,105,LH,64,LQFP,5,50,,MK10D5,MK10DX128xxx5,K10DX128M5,,Cortex-M4,50,16,160,128,32,2,1,0x00000000,1,128,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_72,MK10DX128VLH7,M,K10,D,X,128,128,,V,-40,105,LH,64,LQFP,7,72,,MK10D7,MK10DX128xxx7,K10DX128M7,,Cortex-M4,72,32,160,128,32,2,1,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_72,MK10DX128VLK7,M,K10,D,X,128,128,,V,-40,105,LK,80,LQFP,7,72,,MK10D7,MK10DX128xxx7,K10DX128M7,,Cortex-M4,72,32,160,128,32,2,1,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_72,MK10DX128VLL7,M,K10,D,X,128,128,,V,-40,105,LL,100,LQFP,7,72,,MK10D7,MK10DX128xxx7,K10DX128M7,,Cortex-M4,72,32,160,128,32,2,1,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_100,MK10DX128VLQ10,M,K10,D,X,128,128,,V,-40,105,LQ,144,LQFP,10,100,,MK10D10,MK10DX128xxx10,K10DX128M10,,Cortex-M4,100,32,256,128,128,4,2,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,128,4,2048,8,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_72,MK10DX128VMB7,M,K10,D,X,128,128,,V,-40,105,MB,81,MAPBGA,7,72,,MK10D7,MK10DX128xxx7,K10DX128M7,,Cortex-M4,72,32,160,128,32,2,1,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_72,MK10DX128VMC7,M,K10,D,X,128,128,,V,-40,105,MC,121,MAPBGA,7,72,,MK10D7,MK10DX128xxx7,K10DX128M7,,Cortex-M4,72,32,160,128,32,2,1,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_100,MK10DX128VMD10,M,K10,D,X,128,128,,V,-40,105,MD,144,MAPBGA,10,100,,MK10D10,MK10DX128xxx10,K10DX128M10,,Cortex-M4,100,32,256,128,128,4,2,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,128,4,2048,8,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_50,MK10DX128VMP5,M,K10,D,X,128,128,,V,-40,105,MP,64,MAPBGA,5,50,,MK10D5,MK10DX128xxx5,K10DX128M5,,Cortex-M4,50,16,160,128,32,2,1,0x00000000,1,128,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_100,MK10DX128ZVLQ10,M,K10,D,X,128,128,Z,V,-40,105,LQ,144,LQFP,10,100,,MK10DZ10,MK10DX128Zxxx10,K10DX128ZM10,,Cortex-M4,100,32,256,128,128,4,2,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,128,4,2048,8,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_100,MK10DX128ZVMD10,M,K10,D,X,128,128,Z,V,-40,105,MD,144,MAPBGA,10,100,,MK10DZ10,MK10DX128Zxxx10,K10DX128ZM10,,Cortex-M4,100,32,256,128,128,4,2,0x00000000,1,128,4,2048,8,0x400,16,0x10000000,1,128,4,2048,8,0x14000000,16384,0x1FFFC000,16384,0x20000000
K,K1x,K10,K10_72,MK10DX256VLH7,M,K10,D,X,256,256,,V,-40,105,LH,64,LQFP,7,72,,MK10D7,MK10DX256xxx7,K10DX256M7,,Cortex-M4,72,64,288,256,32,2,1,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_72,MK10DX256VLK7,M,K10,D,X,256,256,,V,-40,105,LK,80,LQFP,7,72,,MK10D7,MK10DX256xxx7,K10DX256M7,,Cortex-M4,72,64,288,256,32,2,1,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_72,MK10DX256VLL7,M,K10,D,X,256,256,,V,-40,105,LL,100,LQFP,7,72,,MK10D7,MK10DX256xxx7,K10DX256M7,,Cortex-M4,72,64,288,256,32,2,1,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_100,MK10DX256VLQ10,M,K10,D,X,256,256,,V,-40,105,LQ,144,LQFP,10,100,,MK10D10,MK10DX256xxx10,K10DX256M10,,Cortex-M4,100,64,512,256,256,4,2,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,256,4,2048,8,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_72,MK10DX256VMB7,M,K10,D,X,256,256,,V,-40,105,MB,81,MAPBGA,7,72,,MK10D7,MK10DX256xxx7,K10DX256M7,,Cortex-M4,72,64,288,256,32,2,1,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_72,MK10DX256VMC7,M,K10,D,X,256,256,,V,-40,105,MC,121,MAPBGA,7,72,,MK10D7,MK10DX256xxx7,K10DX256M7,,Cortex-M4,72,64,288,256,32,2,1,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_100,MK10DX256VMD10,M,K10,D,X,256,256,,V,-40,105,MD,144,MAPBGA,10,100,,MK10D10,MK10DX256xxx10,K10DX256M10,,Cortex-M4,100,64,512,256,256,4,2,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,256,4,2048,8,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_100,MK10DX256ZVLQ10,M,K10,D,X,256,256,Z,V,-40,105,LQ,144,LQFP,10,100,,MK10DZ10,MK10DX256Zxxx10,K10DX256ZM10,,Cortex-M4,100,64,512,256,256,4,2,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,256,4,2048,8,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_100,MK10DX256ZVMD10,M,K10,D,X,256,256,Z,V,-40,105,MD,144,MAPBGA,10,100,,MK10DZ10,MK10DX256Zxxx10,K10DX256ZM10,,Cortex-M4,100,64,512,256,256,4,2,0x00000000,1,256,4,2048,8,0x400,16,0x10000000,1,256,4,2048,8,0x14000000,32768,0x1FFF8000,32768,0x20000000
K,K1x,K10,K10_50,MK10DX32VFM5,M,K10,D,X,32,32,,V,-40,105,FM,32,QFN,5,50,,MK10D5,MK10DX32xxx5,K10DX32M5,,Cortex-M4,50,8,64,32,32,2,1,0x00000000,1,32,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DX32VFT5,M,K10,D,X,32,32,,V,-40,105,FT,48,QFN,5,50,,MK10D5,MK10DX32xxx5,K10DX32M5,,Cortex-M4,50,8,64,32,32,2,1,0x00000000,1,32,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DX32VLF5,M,K10,D,X,32,32,,V,-40,105,LF,48,LQFP,5,50,,MK10D5,MK10DX32xxx5,K10DX32M5,,Cortex-M4,50,8,64,32,32,2,1,0x00000000,1,32,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DX32VLH5,M,K10,D,X,32,32,,V,-40,105,LH,64,LQFP,5,50,,MK10D5,MK10DX32xxx5,K10DX32M5,,Cortex-M4,50,8,64,32,32,2,1,0x00000000,1,32,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DX32VMP5,M,K10,D,X,32,32,,V,-40,105,MP,64,MAPBGA,5,50,,MK10D5,MK10DX32xxx5,K10DX32M5,,Cortex-M4,50,8,64,32,32,2,1,0x00000000,1,32,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,4096,0x1FFFF000,4096,0x20000000
K,K1x,K10,K10_50,MK10DX64VFM5,M,K10,D,X,64,64,,V,-40,105,FM,32,QFN,5,50,,MK10D5,MK10DX64xxx5,K10DX64M5,,Cortex-M4,50,16,96,64,32,2,1,0x00000000,1,64,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX64VFT5,M,K10,D,X,64,64,,V,-40,105,FT,48,QFN,5,50,,MK10D5,MK10DX64xxx5,K10DX64M5,,Cortex-M4,50,16,96,64,32,2,1,0x00000000,1,64,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX64VLF5,M,K10,D,X,64,64,,V,-40,105,LF,48,LQFP,5,50,,MK10D5,MK10DX64xxx5,K10DX64M5,,Cortex-M4,50,16,96,64,32,2,1,0x00000000,1,64,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX64VLH5,M,K10,D,X,64,64,,V,-40,105,LH,64,LQFP,5,50,,MK10D5,MK10DX64xxx5,K10DX64M5,,Cortex-M4,50,16,96,64,32,2,1,0x00000000,1,64,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_72,MK10DX64VLH7,M,K10,D,X,64,64,,V,-40,105,LH,64,LQFP,7,72,,MK10D7,MK10DX64xxx7,K10DX64M7,,Cortex-M4,72,16,96,64,32,2,1,0x00000000,1,64,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_72,MK10DX64VLK7,M,K10,D,X,64,64,,V,-40,105,LK,80,LQFP,7,72,,MK10D7,MK10DX64xxx7,K10DX64M7,,Cortex-M4,72,16,96,64,32,2,1,0x00000000,1,64,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_72,MK10DX64VMB7,M,K10,D,X,64,64,,V,-40,105,MB,81,MAPBGA,7,72,,MK10D7,MK10DX64xxx7,K10DX64M7,,Cortex-M4,72,16,96,64,32,2,1,0x00000000,1,64,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_72,MK10DX64VMC7,M,K10,D,X,64,64,,V,-40,105,MC,121,MAPBGA,7,72,,MK10D7,MK10DX64xxx7,K10DX64M7,,Cortex-M4,72,16,96,64,32,2,1,0x00000000,1,64,4,2048,8,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_50,MK10DX64VMP5,M,K10,D,X,64,64,,V,-40,105,MP,64,MAPBGA,5,50,,MK10D5,MK10DX64xxx5,K10DX64M5,,Cortex-M4,50,16,96,64,32,2,1,0x00000000,1,64,4,1024,4,0x400,16,0x10000000,1,32,4,1024,4,0x14000000,8192,0x1FFFE000,8192,0x20000000
K,K1x,K10,K10_120,MK10FN1M0VLQ12,M,K10,F,N,1M0,1024,,V,-40,105,LQ,144,LQFP,12,120,,MK10F12,MK10FN1M0xxx12,K10FN1M0M12,,Cortex-M4F,120,128,1024,1024,,16,4,0x00000000,4,256,8,4096,16,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_120,MK10FN1M0VMD12,M,K10,F,N,1M0,1024,,V,-40,105,MD,144,MAPBGA,12,120,,MK10F12,MK10FN1M0xxx12,K10FN1M0M12,,Cortex-M4F,120,128,1024,1024,,16,4,0x00000000,4,256,8,4096,16,0x400,16,,,,,,,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_120,MK10FX512VLQ12,M,K10,F,X,512,512,,V,-40,105,LQ,144,LQFP,12,120,,MK10F12,MK10FX512xxx12,K10FX512M12,,Cortex-M4F,120,128,1024,512,512,16,4,0x00000000,2,256,8,4096,16,0x400,16,0x10000000,2,256,8,4096,16,0x14000000,65536,0x1FFF0000,65536,0x20000000
K,K1x,K10,K10_120,MK10FX512VMD12,M,K10,F,X,512,512,,V,-40,105,MD,144,MAPBGA,12,120,,MK10F12,MK10FX512xxx12,K10FX512M12,,Cortex-M4F,120,128,1024,512,512,16,4,0x00000000,2,256,8,4096,16,0x400,16,0x10000000,2,256,8,4096,16,0x14000000,65536,0x1FFF0000,65536,0x20000000
